,black_rating,id,rated,turns,victory_status,white_rating,winner
134,1409,fgK91ojo,True,24,resign,1273,black
135,1277,Cmhkui8U,True,9,resign,1338,white
136,1336,TRpFAEWd,True,47,mate,1263,white
137,1273,btHFH9xr,True,85,mate,1316,white
138,1253,G9xaiPFl,True,39,mate,1248,white
139,1233,RkMlSx4r,True,58,mate,1335,black
140,1189,Z1CTghfR,True,95,mate,1223,white
141,1204,X4QqWp8Q,True,2,resign,1443,black
142,1216,R6dF4yRx,True,97,mate,1227,white
143,1219,PLxCc87r,True,12,draw,1215,draw
144,1227,p7a4FGwp,True,30,resign,1227,white
145,1225,3udM9T6k,True,43,mate,1550,white
146,1234,hkMNenrh,True,11,resign,1325,white
147,1221,jrmlULM0,True,72,mate,1212,black
148,1478,JbLparSt,True,156,mate,1226,black
149,1626,mqZFkCf3,True,18,resign,1228,black
150,1228,dZn9WLT5,False,77,mate,1191,white
151,1210,MgL176RS,True,32,resign,1422,black
152,1223,V16nc5AF,True,35,resign,1186,white
153,1212,GT8TdRlm,True,85,mate,1212,white
154,1343,2P2u5f63,True,50,resign,1228,black
155,1862,15nlkNRf,True,111,resign,1865,white
156,1852,xwl41jna,True,65,outoftime,1852,white
157,1863,1zRjgcqm,True,73,resign,1833,white
158,1918,vfnLULoh,True,125,resign,1851,white
159,1844,ut6LIGPI,True,76,resign,1861,black
160,1774,1KbSJtjs,True,65,outoftime,1853,white
161,1862,cqrATt9o,True,41,mate,1910,white
162,1890,deKfSOPy,True,59,resign,1851,white
163,1840,vQ1psjxd,True,70,resign,1860,black
164,1848,k1qV5HHz,True,34,resign,1828,white
165,1858,QQ3iIM2V,True,69,outoftime,1855,white
166,1895,GppFo58m,True,63,resign,1847,white
167,1856,BoDJGVyk,True,107,resign,1885,white
168,1802,tqirXAEm,True,58,resign,1847,white
169,1856,GLC4oNZR,False,34,resign,1847,black
170,1837,3eLsB99C,True,100,outoftime,1840,black
171,1806,M6zMVwqK,True,80,resign,1848,black
172,1820,yrQWTJVz,True,44,resign,1860,black
173,1849,aF6DiZZe,True,40,outoftime,1854,black
174,1859,0dm3RaQv,True,105,outoftime,1895,white
175,1965,BxxAvvER,True,50,resign,1866,black
176,1843,fPPfEuu5,False,144,outoftime,1866,draw
177,1866,Hysqcekp,False,81,resign,1835,black
178,1860,oaKcGCrO,True,69,resign,1877,black
179,1874,xMezmOBz,True,77,mate,1849,white
180,1865,46AuHfcq,True,158,mate,1835,black
181,1835,A7ddojjI,True,107,draw,1866,draw
182,1829,SGqoxO3v,True,117,mate,1856,white
183,1846,pHJ5zXyE,True,44,resign,1845,white
184,1835,WqMvA7iE,True,40,resign,1834,black
185,1845,s3v6jMaX,True,59,resign,1846,white
186,1917,hl3zLZmV,False,110,resign,1845,black
187,1790,PHYPEO42,True,30,resign,1858,black
188,1847,NgZ8xxFe,True,54,resign,1871,black
189,1869,1ZeBVc5V,True,69,resign,1846,black
190,1836,OmwDxZpJ,True,178,mate,1843,black
191,1826,JewxmuG9,True,136,resign,1800,black
192,1267,0gTDO6Av,False,124,mate,1283,black
193,1270,t7vvcwqO,True,96,resign,1290,black
194,1281,igSDFKv0,True,53,outoftime,1331,white
195,1292,facMwkUo,True,39,mate,1304,white
196,1293,j5KY62yS,True,10,mate,1305,black
197,1317,nyYULwUl,True,51,mate,1308,white
198,1305,h0YsGMhj,True,18,resign,1296,black
199,1305,o4T7dj5h,False,106,mate,968,black
200,1466,VgNt0SSX,False,38,mate,1293,black
201,1299,UvqLtnPM,True,59,mate,1500,white
202,1232,1b0kpInt,True,111,mate,1288,white
203,2108,dJEtAQp7,True,28,resign,1289,black
204,1289,ZPHBiKBY,False,101,outoftime,1431,white
205,1289,I8odmGjb,False,15,mate,1806,white
206,1311,DijZlfMy,False,42,resign,1289,white
207,1289,LyRqbD4d,False,118,resign,1431,black
208,1484,CvakmVNb,False,34,resign,1289,black
209,1810,O037dETy,False,60,resign,1289,black
210,1289,CxQlHSnq,False,66,resign,1806,black
211,1500,Q0jogkvi,False,21,outoftime,1289,white
212,1297,QurxyQkA,True,73,mate,1409,white
213,1485,mJ9VpdxV,True,159,mate,1280,white
214,1211,edYOVb5F,False,74,resign,1280,white
215,1280,GstYv2mJ,False,28,mate,1211,black
216,1765,dFQ5D7CS,True,112,mate,1281,black
217,1454,2FpFvoMt,True,104,resign,1288,black
218,1270,cywOBEY5,True,40,mate,1560,black
219,1534,pnU8dLUx,True,44,mate,1274,black
220,1663,lE65efFF,True,150,draw,1259,draw
221,1238,bCVL4bZl,True,60,mate,1614,black
222,1417,WUyPeYW8,True,37,mate,1221,white
223,1732,xRY7h8aS,True,88,outoftime,1222,black
224,1234,92UGyHOr,True,113,mate,1232,white
225,1219,UqxaqU7R,True,55,mate,1240,white
226,1600,TTzZc8gW,True,135,mate,1590,white
227,1617,F7oADKYb,True,137,draw,1568,draw
228,1358,GoYkQEoS,True,97,outoftime,1500,white
229,1325,DszY6Pr4,False,33,resign,1384,black
230,1265,FhJcOzZW,False,29,resign,1384,black
231,1950,kKFslhlg,False,55,resign,1384,black
232,1249,VVkKGe4E,True,91,resign,1377,white
233,1389,11VaOez1,True,53,resign,1375,white
234,1361,2akR3Bit,True,49,mate,1378,white
235,1371,mG2dEz4z,True,48,mate,1261,black
236,1429,xrZnbIGD,True,20,resign,1380,black
237,1368,lOU3lddA,True,87,mate,1369,white
238,1371,xYEVgk0W,True,11,resign,1290,white
239,1326,QnXuc72h,True,110,draw,1372,draw
240,1383,ejaSwZEr,True,24,resign,1361,white
241,1399,3ZfA3gFa,True,23,resign,1217,white
242,1447,WoOqoYEL,True,81,mate,1387,white
243,1387,EgoW2NiE,False,34,resign,1474,black
244,1351,ZctgRAt4,True,103,mate,1377,white
245,1339,VuZ0dzhO,True,29,resign,1389,black
246,1400,1cvi4Z6K,False,22,resign,1389,black
247,1389,E83xJFBo,False,38,resign,1849,white
248,1378,hVSNfLer,True,46,mate,1395,black
249,1257,XyM6zTew,True,23,outoftime,1370,white
250,1332,5sEcA5zs,True,31,resign,1360,white
251,1360,wXnKMk3N,False,51,resign,1311,white
252,1360,YPVYpEvm,False,87,mate,1714,white
253,1217,rth667hB,True,31,mate,1354,white
254,1346,rb7lq7dT,True,38,resign,1245,black
255,1099,hxMTrlzW,False,43,resign,1346,white
256,1287,hfNJtVnd,True,105,resign,1336,white
257,1555,ijtzfFex,False,87,outoftime,1580,white
258,1580,Uc64bIGE,False,36,mate,1555,black
259,1547,o1qwAoUy,True,38,resign,1649,black
260,1527,voV4ekhS,True,110,resign,1426,black
261,1547,VUCRbEm8,True,48,resign,1557,black
262,1607,LDLdtyDj,False,95,mate,1557,white
263,1557,Gr1n1AdP,False,70,mate,1607,black
264,1632,1TpYTEKR,False,42,resign,1557,white
265,1609,AUzK1bj8,True,177,outoftime,1535,white
266,1558,R5SfPQiB,True,114,mate,1713,black
267,1730,VXdhNTk5,True,57,resign,1497,white
268,1552,kTRSenmv,True,57,resign,1437,white
269,1552,FE7B5vY8,False,82,draw,1516,draw
270,1456,PEIWrbTQ,True,29,mate,1513,white
271,1478,8hlHAFPF,True,70,resign,1355,black
272,1614,BwBDbyKq,True,97,mate,1638,white
273,1934,E41MaCB9,True,99,resign,1613,white
274,1613,UVbhSOnA,False,74,resign,1865,black
275,1587,HYMGpINp,True,48,mate,1776,black
276,1593,L9UeFctE,True,77,mate,1568,white
277,1546,DbYHY9Bc,True,80,resign,1605,black
278,1709,7fftvkF6,True,35,resign,1518,white
279,1527,IlQp1eqc,True,33,resign,1728,white
280,1379,atgsbOBS,True,87,mate,1515,white
281,1501,Kx4jd1Oo,True,40,resign,1538,black
282,1516,5vg0pHEg,True,54,resign,1511,black
283,1495,5uNNVd3c,True,67,resign,1464,black
284,1475,aGVLNoTY,True,21,mate,1470,white
285,1440,W4eyc9dH,True,14,mate,1490,black
286,1974,l2My0J1h,False,71,resign,1611,white
287,1945,eRHQGmr2,True,72,outoftime,1611,black
288,1611,D45fTp2y,True,62,resign,1584,black
289,1611,lTOKfWMv,True,48,resign,1942,black
290,1611,sd7oPNum,True,6,outoftime,1217,black
291,2059,xLmd5oZZ,True,69,draw,1611,draw
292,1478,T3gAyyeH,True,72,resign,1611,white
293,1552,HDPjH5bD,True,40,mate,1486,black
294,1496,cFSW3SMi,True,29,mate,1453,white
295,1326,wsNnVC6Y,True,44,resign,1340,white
296,1500,UxvU6EN4,True,59,mate,1532,white
297,1557,mjXUQnww,True,115,resign,1560,white
298,1577,lC84DiKq,True,70,resign,1571,black
299,1617,A17jdHS8,True,36,resign,1580,black
300,1593,t5ixT6HN,True,83,resign,1531,white
301,1597,8uZRNw8n,True,99,draw,1449,draw
302,1604,vwQzM7Sg,True,43,resign,1743,white
303,1614,I4zyNfPo,True,89,resign,1604,white
304,1605,6eQ92lsE,True,96,resign,1550,black
305,1605,8BLA0IOl,False,116,mate,1630,black
306,1605,pMcUNK5E,False,78,mate,1475,black
307,1475,Kzq2t2lB,False,77,mate,1605,white
308,1605,a0VRhASu,False,70,mate,1475,black
309,1605,5gymGRgt,False,27,resign,1570,white
310,1500,Vyrkyifp,False,102,resign,1605,black
311,1605,exEzRx87,False,21,resign,1500,white
312,1500,i3YfxFdL,False,33,resign,1605,white
313,1605,8ctKV1wh,False,74,resign,1513,black
314,1874,jVXtr42v,True,65,resign,1790,white
315,1805,ZXM2sX4y,True,81,resign,1864,white
316,1861,UFKSc5hH,True,45,resign,1496,black
317,1853,jhA7bDVC,True,52,resign,1851,white
318,1863,vc2eo2Sh,True,51,resign,1861,white
319,1609,WgPBuJD6,True,48,draw,1618,draw
320,1607,WtFUCKgj,True,20,resign,1620,black
321,1496,EQDn1BA7,True,50,mate,1621,black
322,1581,AbDhfpnX,True,98,resign,1633,black
323,1623,Ger5Zno3,True,106,mate,1623,black
324,1614,JHH8PcNq,True,19,resign,1612,white
325,1624,8Ie5Oesp,True,22,resign,1605,white
326,1621,HN5jnzyI,True,114,draw,1693,draw
327,1684,GRAng26s,True,69,resign,1631,black
328,1619,TaaLCuw6,True,34,mate,1636,black
329,1617,R2JFua6L,True,40,mate,1613,black
330,1495,LcPvndOa,True,108,resign,1627,black
331,1643,oWSctoZp,True,27,resign,1480,white
332,1652,m793jf7F,True,63,resign,1631,white
333,1641,UaulsArt,True,31,resign,1687,white
334,1638,EL3LK94E,True,71,resign,1630,white
335,1624,PcXdgcJJ,True,92,mate,1414,black
336,1419,XGG3VNC9,True,47,mate,1619,white
337,1659,n1hgevhj,True,56,resign,1629,black
338,1639,q5P7mAB4,True,48,resign,1649,white
339,1627,sl4N6t22,True,124,resign,1677,black
340,1636,DhoFXYNH,True,49,mate,1705,white
341,1635,q6FmC8Id,True,64,resign,1647,black
342,1627,2CvZyh4h,True,29,resign,1637,white
343,1631,Psin3ost,True,45,resign,1626,white
344,1615,AaSSYIy6,True,96,resign,1602,black
345,1603,0lWtXgXo,True,92,resign,1634,black
346,1591,IC0EFtA5,True,40,mate,1611,black
347,1623,L8gPU593,True,123,mate,1579,white
348,1581,0PVGpBvD,True,129,mate,1995,white
349,1569,2icRDIZI,True,120,mate,1589,black
350,1555,ktRhE4Ky,True,71,draw,1570,draw
351,1557,5AYA7mBv,True,97,mate,1559,white
352,1571,qGThbTuM,True,60,resign,1546,white
353,1567,pLR3kRgy,True,57,resign,1550,white
354,1419,EdKqO9z1,True,38,resign,1560,white
355,1564,sAjNrfSm,True,111,resign,1840,white
356,1549,BON8sFeZ,True,119,resign,1660,black
357,1678,PREaBSqk,True,33,mate,1534,white
358,1538,CmAh08GF,True,32,resign,1789,white
359,1921,FpZiajAh,True,96,resign,1841,black
360,1737,uFREIMDF,True,92,draw,1926,draw
361,1887,4Wozw7Zh,True,64,resign,1629,black
362,1712,GIoSZf5k,True,10,resign,1860,black
363,1568,9r2yzwRq,True,85,resign,1500,white
364,2132,e4UoYNOg,True,40,resign,1780,black
365,1124,sn4zdyQb,True,58,resign,966,black
366,951,ppPlxT3Q,True,26,outoftime,884,black
367,1070,D0idNTxu,True,4,outoftime,945,black
368,1149,yTbYtCF6,True,118,mate,971,black
369,985,AEIBxJhK,True,11,mate,1238,white
370,1247,mwcADhNn,True,163,outoftime,972,draw
371,961,ygHSZzNE,True,95,mate,1107,white
372,1129,9MESu3hH,True,37,resign,974,black
373,970,tBXOrjlO,True,101,mate,1203,white
374,937,J5DYrnEf,True,80,outoftime,998,black
375,1126,o5ZRUXrY,True,78,resign,1016,black
376,1153,e5CGewyU,True,89,outoftime,1025,draw
377,1151,fV2cuf3p,True,42,mate,1047,black
378,1016,baOLL2ej,True,8,outoftime,998,black
379,1044,tHHd8ejz,True,101,outoftime,1127,white
380,1200,E9Es660b,True,65,outoftime,1020,white
381,1071,0Hl7FLEs,True,60,mate,1069,black
382,1068,6pOeX4hN,True,71,draw,1071,draw
383,1223,zALflmF8,True,44,resign,1115,black
384,1213,F8euV2Zp,True,20,resign,1190,black
385,1337,VC0euQZC,True,41,resign,1337,white
386,1500,F0rtsvLh,True,40,resign,1500,black
387,1571,vI6soB0y,True,27,resign,1500,white
388,1866,RHqtUgcA,True,59,resign,1367,black
389,1373,pCdIqYQn,True,19,mate,1590,white
390,1667,7DyaFpEQ,True,50,mate,1377,black
391,1358,gDy9stbN,True,34,resign,1558,black
392,1367,4C9wlcMh,True,15,mate,1476,white
393,1469,J2JnXESd,True,52,resign,1376,black
394,1386,fYXWmMQo,True,65,mate,1460,white
395,1408,0izXEQL0,True,67,resign,1372,white
396,2148,C7ZN9Vt6,True,31,resign,1373,black
397,1395,nXAMBzZC,False,130,mate,1500,black
398,1414,PDmTWzdY,True,125,mate,1382,white
399,1400,l33LvAGO,True,76,resign,1320,black
400,1330,VVMmBXVj,True,121,resign,1383,white
401,1242,J7LsFrHs,False,53,resign,1383,white
402,1357,nrOeTNGE,True,116,outoftime,1469,black
403,1357,o8It5NwS,False,47,resign,959,white
404,959,KYR2S7f1,False,53,resign,1357,white
405,1357,lUfS2I5H,False,76,mate,959,black
406,1691,9GK7Wbwa,True,110,draw,1588,draw
407,1586,RQKVDRu3,True,67,mate,1541,white
408,1320,gzD3S9qf,True,17,resign,1517,white
409,1569,aqIy0Ek9,True,39,mate,1569,white
410,1498,F9LhXEvk,True,94,resign,1563,black
411,1512,scqVJjj2,True,37,resign,1903,white
412,1450,BoBZJpRS,True,37,mate,1612,white
413,1450,5VAOl0rA,False,34,resign,1327,white
414,1450,TMNMnaD7,False,41,outoftime,1245,white
415,1451,ERl5w1Lb,False,30,resign,1921,black
416,1464,XLvG0Fxw,True,51,resign,1462,white
417,1486,kI6eU49k,True,79,mate,1450,white
418,1418,wbR4KA2i,True,83,resign,1439,white
419,1500,eTcONlGD,True,14,resign,1728,black
420,1563,AFrSI2mE,True,21,resign,1547,white
421,1567,Of7utwYA,True,47,resign,1863,white
422,1423,MbJQrZqR,True,38,resign,1559,white
423,1611,57CfXLeQ,True,34,resign,1570,black
424,1582,6jtIjE2R,True,39,resign,1562,white
425,1386,jsfpSHaf,True,43,resign,1576,white
426,1595,CPDDgugd,True,41,mate,1353,white
427,1326,RXnpG2TZ,True,49,resign,1591,white
428,1580,FgNBqN3z,True,38,outoftime,1560,black
429,1574,ploTbJ6s,True,70,outoftime,1727,black
430,1841,hbxnJvqu,True,48,resign,1579,black
431,1558,eZH6krXF,True,50,resign,1877,black
432,1962,qKXrw2ki,True,57,resign,1536,white
433,1763,FhfFRSoX,True,148,outoftime,1529,draw
434,1515,EHmTVpmX,True,62,mate,1590,black
435,1522,XUuJhAEP,True,29,resign,1653,white
436,1505,1CEn79ih,True,52,mate,1675,black
437,1491,EHODQ73d,True,26,mate,1547,black
438,1399,Wt4pO0yV,True,59,resign,1507,black
439,1502,37DIkyQP,True,2,draw,1641,draw
440,1703,BThm18qK,True,195,draw,1496,draw
441,1484,IgqWb3wU,True,56,resign,1482,black
442,1909,TAdphcbm,True,40,resign,1486,black
443,1488,63lPam9c,True,31,mate,1919,white
444,2192,I400IkFs,True,60,resign,1488,black
445,1684,Q9Bk2G35,True,45,resign,1470,white
446,1659,irRJlNd6,True,63,draw,1465,draw
447,1473,bubeMcp6,True,17,resign,1586,white
448,1488,pxoOFfHH,True,34,resign,1548,white
449,1501,Av8udV1F,True,36,mate,1500,black
450,1487,RIrGfA5F,True,62,mate,1509,black
451,1491,GlTzWj5E,True,46,draw,1356,draw
452,1771,lFN4Gvv1,True,34,resign,1495,black
453,1639,cJRIpA0K,True,38,resign,1529,white
454,1537,4u0MUqHf,True,107,resign,1631,white
455,1621,68pMrUFp,True,42,resign,1546,black
456,1636,hz2R5AX6,True,35,resign,1568,white
457,1631,ZbjPJQvo,True,122,mate,1354,black
458,1384,rbcpm9pr,True,71,mate,1626,white
459,1813,3fubUQ1L,True,42,resign,1639,black
460,1795,QYc8zif6,True,2,outoftime,1646,black
461,939,afXDSWwS,True,11,resign,1646,white
462,1678,kzO8xpo0,True,54,resign,1657,black
463,1668,lfKoLKHr,True,58,resign,1667,white
464,1599,DcNnJYPu,True,42,resign,1683,black
465,1686,4ohxsOYi,True,116,draw,1596,draw
466,1659,nBIWZ8Fi,True,74,mate,1769,black
467,1761,IIlpa2I0,True,54,mate,1668,black
468,1677,Fl7n8wyn,True,85,resign,1752,white
469,1743,kATFCmb6,True,38,resign,1688,black
470,1704,8BHaVwSf,True,41,resign,1582,white
471,1666,JHs2yQVf,True,121,mate,1693,white
472,1680,WOwzREnN,True,30,resign,1676,black
473,1679,vCxVnALT,True,64,resign,1142,black
474,1148,BAKj62Jt,True,15,mate,1678,white
475,1676,IhPROx4l,True,40,resign,1154,black
476,1098,FEAnKMLP,True,128,draw,1686,draw
477,1685,wwF013vq,True,48,resign,1102,black
478,1107,UVCNEXse,True,51,mate,1684,white
479,1678,YeWcT5XP,True,71,resign,1493,black
480,1693,mOQE6k1N,True,60,resign,1525,white
481,1681,nIQ2d4S6,True,58,mate,1709,black
482,1699,PRsV872Z,True,60,resign,1692,black
483,1704,TQOTfC0X,True,40,resign,1688,white
484,1497,XA0DImut,True,29,outoftime,1699,white
485,1943,SBB7hpZn,True,98,resign,1703,black
486,1692,9LBbJAy5,True,71,resign,1694,black
487,1564,jkBe42CV,True,135,draw,1696,draw
488,1688,Z9FnkzxR,True,34,mate,1572,black
489,1684,rt1IFgnN,True,60,mate,1392,black
490,1696,m6bOuo2a,True,47,resign,1707,black
491,1720,d79KE45O,True,23,resign,1684,white
492,1672,VzLpYJ1R,True,78,mate,1733,black
493,1736,wLCl9YNn,True,35,mate,1721,white
494,1733,RSsb4wYF,True,53,resign,1724,white
495,1712,lm8AKQIn,True,120,mate,1746,black
496,1496,uiJ5thnm,True,41,mate,1741,white
497,1240,GHlw6n8z,True,42,resign,1295,black
498,1302,yLhzi5Dd,True,63,resign,1430,white
499,1248,brPQOL4Y,False,23,resign,1302,black
500,1270,gH21a6oq,True,32,resign,1314,black
501,1314,giix8ieL,False,73,resign,1445,white
502,1451,Un8lFrlI,True,90,resign,1321,black
503,1333,xNeUwMhV,True,41,mate,1300,white
504,1449,ckyHRYkd,True,43,resign,1318,white
505,1303,qRI4whmd,True,38,resign,1450,black
506,1367,fE1B5wMl,True,41,mate,1290,white
507,1330,pbX2HMso,True,84,resign,1300,black
508,1291,TVcCQzD5,True,56,resign,1209,black
509,1418,KYsVM4yI,True,30,resign,1299,black
510,1299,e4kFuJQ9,False,6,resign,1814,white
511,1308,5FPLsNja,True,67,resign,1348,white
512,1366,uBwEbVAF,True,56,resign,1318,black
513,1329,7sZ6ADlB,True,103,resign,1324,white
514,1187,1iCdDMNl,True,40,mate,1345,black
515,1149,8lPSOnVV,True,52,resign,1352,black
516,1429,YQvHXNdq,True,57,draw,1350,draw
517,1340,BHUzGb7V,True,23,resign,1403,white
518,1072,W3fUpxff,True,39,mate,1322,white
519,1382,eCQSU6WF,True,52,resign,1331,black
520,1341,sOofcpg2,True,41,resign,1373,white
521,1265,stoudusq,True,33,resign,1350,white
522,1299,Q8AA3Qby,True,58,resign,1270,black
523,1282,R9lE5mr6,True,31,mate,1223,white
524,1306,KKoEd9W4,True,15,resign,1289,white
525,1268,AFBQ040C,True,32,resign,1007,black
526,1179,jRosMYvP,True,45,resign,1170,white
527,1183,47I7Smmy,True,25,resign,1442,white
528,1170,mjeeolDf,True,15,resign,1172,white
529,1346,bn6tE2Gy,True,62,resign,1178,black
530,1190,SQz0aocr,True,59,resign,1171,white
531,1329,9bpYNzjf,True,51,resign,1175,white
532,1160,faXIXTIb,True,22,resign,1273,black
533,974,BvcCXIJt,True,27,resign,1154,white
534,1122,FH8TvLSY,True,34,resign,1167,black
535,1171,99ONvKAR,True,79,outoftime,1439,white
536,1170,ukTTpK9V,True,73,resign,1245,white
537,1156,XwMJo8Hb,True,74,mate,1250,black
538,1263,Wxgi9dv0,True,92,resign,1164,black
539,1251,zijw7opz,True,26,resign,1173,black
